"Purchase the ""cut tape"" option from DigiKey for all items.",,,,,,,,,,,
,Item,MFR,MFR P/N,Vendor,Vendor P/N,Quantity,Price,Total Price ,Product link ,,Haul Total
LED PCB Components,"Red SMT LED - surface mount, 0603",Würth Elektronik,150060RS75000,DigiKey,732-4978-1-ND,168,$0.14,$23.86,https://www.digikey.com/en/products/detail/w%C3%BCrth-elektronik/150060RS75000/4489901,,$153.68
,"Red SMT LEDs - surface mount, right angle, 1206",Würth Elektronik,155124RS73200,DigiKey,732-5025-1-ND,6,$0.20,$1.20,https://www.digikey.com/en/products/detail/w%C3%BCrth-elektronik/155124RS73200/4490041,,
,"Green SMT LEDs - surface mount, 0603",Dialight,5988070107F,DigiKey,350-2035-1-ND,3,$0.32,$0.96,https://www.digikey.com/en/products/detail/dialight/5988070107F/1291269,,
,8-bit shift Shift Register - 16-TSSOP,Nexperia USA Inc.,"74HC595PW,118",DigiKey,1727-3068-1-ND,12,$0.47,$5.64,https://www.digikey.com/en/products/detail/nexperia-usa-inc/74HC595PW-118/946653,,
,"Resistor Network - 8-pos, 8.2K",Rohm Semiconductor,MNR18ERAPJ822,DigiKey,511-MNR18ERAPJ822CT-ND,12,$0.10,$1.20,https://www.digikey.com/en/products/detail/rohm-semiconductor/MNR18ERAPJ822/4083449,,
,"Connector - Male Receptacle, 5x2 pos, 0.1"" pitch",CNC Tech,3020-10-0300-00,DigiKey,1175-1621-ND,3,$0.68,$2.04,https://www.digikey.com/en/products/detail/cnc-tech/3020-10-0300-00/3441727,,
,Linear 3.3V Regulator - SOT-223-3,Diodes Incorporated,AZ1117IH-3.3TRG1,DigiKey,AZ1117IH-3.3TRG1DICT-ND,3,$0.37,$1.11,https://www.digikey.com/en/products/detail/diodes-incorporated/AZ1117IH-3-3TRG1/5699672,,
,N-channel MOSFET - SOT-23 ,Diodes Incorporated,DMN63D8L-7,DigiKey,DMN63D8L-7DICT-ND,69,$0.19,$13.25,https://www.digikey.com/en/products/detail/diodes-incorporated/DMN63D8L-7/5699705,,
,"Capacitor - 10uF, 0402",Murata Electronics,GRM155R61A106ME11D,DigiKey,490-GRM155R61A106ME11DCT-ND,9,$0.12,$1.08,https://www.digikey.com/en/products/detail/murata-electronics/GRM155R61A106ME11D/12091056,,
,"Capacitor - 1uF, 0402",Samsung Electro-Mechanics,CL05A105KP5NNNC,DigiKey,1276-1076-1-ND,12,$0.10,$1.20,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL05A105KP5NNNC/3886734,,
,"Resistor - 56 ohm, 0402",YAGEO,RC0402FR-0756RL,DigiKey,311-56.0LRCT-ND,15,$0.10,$1.50,https://www.digikey.com/en/products/detail/yageo/RC0402FR-0756RL/726636,,
,"Resistor - 330 ohm, 0402",YAGEO,RC0402JR-13330RL,DigiKey,RC0402JR-13330RL,36,$0.10,$3.60,https://www.digikey.com/en/products/detail/yageo/RC0402JR-13330RL/14008183,,
,"Resistor - 240 ohm, 0402",YAGEO,RC0402FR-07240RL,DigiKey,311-240LRCT-ND,33,$0.10,$3.30,https://www.digikey.com/en/products/detail/yageo/RC0402FR-07240RL/2827564,,
,"Resistor - 10k ohm, 0402",YAGEO,RC0402JR-0710KL,DigiKey,311-10KJRCT-ND,4,$0.10,$0.40,https://www.digikey.com/en/products/detail/yageo/RC0402JR-0710KL/726418,,
,Test Point - Surface Mount ,"KOA Speer Electronics, Inc.",RCWCTE,DigiKey,2019-RCWCTECT-ND,27,$0.16,$4.32,https://www.digikey.com/en/products/detail/koa-speer-electronics-inc/RCWCTE/11476558,,
,STM32 ST-Link V2 In-circuit Debugger,STMicroelectronics,ST-LINK/V2,DigiKey,497-10484-ND,1,$22.16,$22.16,https://www.digikey.com/en/products/detail/stmicroelectronics/ST-LINK-V2/2214535,,
,Plug-of-Nails POGO-pin SWD connector,Tag-Connect LLC,TC2030-IDC,DigiKey,TC2030-IDC-ND,1,$42.86,$42.86,https://www.digikey.com/en/products/detail/tag-connect-llc/TC2030-IDC/4571121,,
